ITERATION;avg. Average Leg distance;avg. Average Trip distance
180;4466.8386875;4466.8386875
181;4453.060866666667;4453.060866666667
182;4462.545277916666;4462.545277916666
183;4454.4687420833325;4454.4687420833325
184;4468.7290375;4468.7290375
185;4475.33390125;4475.33390125
186;4462.048173333334;4462.048173333334
187;4448.9606300000005;4448.9606300000005
188;4458.93294;4458.93294
189;4478.317253333334;4478.317253333334
190;4452.6027675000005;4452.6027675000005
191;4464.816661666667;4464.816661666667
192;4461.680720833334;4461.680720833334
193;4475.350609166667;4475.350609166667
194;4467.01621125;4467.01621125
195;4474.658482916667;4474.658482916667
196;4469.2816525;4469.2816525
197;4485.414064583333;4485.414064583333
198;4465.947992083334;4465.947992083334
199;4480.20273375;4480.20273375
200;4433.719205833333;4433.719205833333
201;4473.688004166666;4473.688004166666
202;4453.479902916666;4453.479902916666
203;4481.6777974999995;4481.6777974999995
204;4446.524932916666;4446.524932916666
205;4491.558538333334;4491.558538333334
206;4444.042389583333;4444.042389583333
207;4484.7913875;4484.7913875
208;4452.892204583333;4452.892204583333
209;4479.04899125;4479.04899125
210;4441.8463483333335;4441.8463483333335
211;4478.417815833333;4478.417815833333
212;4443.270074999999;4443.270074999999
213;4486.4570162499995;4486.4570162499995
214;4454.478374583333;4454.478374583333
215;4491.960687499999;4491.960687499999
216;4444.7340875;4444.7340875
217;4483.207322916666;4483.207322916666
218;4456.454307083333;4456.454307083333
219;4485.483125;4485.483125
220;4452.271477083334;4452.271477083334
221;4476.534787083333;4476.534787083333
222;4447.471618333333;4447.471618333333
223;4489.092085833334;4489.092085833334
224;4454.7146766666665;4454.7146766666665
225;4481.538789583333;4481.538789583333
226;4458.690787916667;4458.690787916667
227;4497.453595833334;4497.453595833334
228;4461.702519166667;4461.702519166667
229;4473.156469166667;4473.156469166667
230;4449.817730833333;4449.817730833333
231;4477.287981666666;4477.287981666666
232;4443.823370416667;4443.823370416667
233;4477.126176666667;4477.126176666667
234;4461.205148333333;4461.205148333333
235;4477.73736875;4477.73736875
236;4466.965181250001;4466.965181250001
237;4477.804518333332;4477.804518333332
238;4449.804424999999;4449.804424999999
239;4459.53973875;4459.53973875
240;4448.966447083333;4448.966447083333
241;4490.484462083334;4490.484462083334
242;4460.287362083333;4460.287362083333
243;4477.90875125;4477.90875125
244;4466.075156666667;4466.075156666667
245;4470.383090416666;4470.383090416666
246;4474.6338095833335;4474.6338095833335
247;4487.3474004166665;4487.3474004166665
248;4454.628055416667;4454.628055416667
249;4470.3886320833335;4470.3886320833335
250;4476.545495833333;4476.545495833333
251;4481.44172875;4481.44172875
252;4464.633879166667;4464.633879166667
253;4480.1602137499995;4480.1602137499995
254;4460.2347875000005;4460.2347875000005
255;4478.9955525;4478.9955525
256;4461.769962916666;4461.769962916666
257;4483.911380416667;4483.911380416667
258;4468.789606666666;4468.789606666666
259;4463.2357483333335;4463.2357483333335
260;4469.5474020833335;4469.5474020833335
261;4475.364450833334;4475.364450833334
262;4464.119640416667;4464.119640416667
263;4449.354394166667;4449.354394166667
264;4462.05720125;4462.05720125
265;4475.0400875;4475.0400875
266;4465.489166666666;4465.489166666666
267;4448.295945416667;4448.295945416667
268;4461.709307916666;4461.709307916666
269;4470.922214166666;4470.922214166666
270;4477.123496666666;4477.123496666666
271;4457.390387083333;4457.390387083333
272;4472.27849375;4472.27849375
273;4461.873395;4461.873395
274;4469.706822916667;4469.706822916667
275;4464.10305375;4464.10305375
276;4473.185695416667;4473.185695416667
277;4463.403625;4463.403625
278;4457.423865833333;4457.423865833333
279;4463.546602083334;4463.546602083334
280;4467.140717916666;4467.140717916666
281;4457.313773333333;4457.313773333333
282;4472.408378749999;4472.408378749999
283;4465.607095833333;4465.607095833333
284;4479.110984166667;4479.110984166667
285;4459.973996666667;4459.973996666667
286;4485.707110416666;4485.707110416666
287;4468.369282083334;4468.369282083334
288;4474.096500833333;4474.096500833333
289;4477.514529166667;4477.514529166667
290;4477.415876666667;4477.415876666667
291;4454.5386358333335;4454.5386358333335
292;4466.503240833333;4466.503240833333
293;4464.862243333334;4464.862243333334
294;4485.467117916667;4485.467117916667
295;4468.785350416667;4468.785350416667
296;4477.965109583333;4477.965109583333
297;4458.94295;4458.94295
298;4479.456238333333;4479.456238333333
299;4450.516848333334;4450.516848333334
300;4477.185762916667;4477.185762916667
301;4449.651194166667;4449.651194166667
302;4478.173135416667;4478.173135416667
303;4450.271511666666;4450.271511666666
304;4466.5180691666665;4466.5180691666665
305;4464.122072916666;4464.122072916666
306;4476.117223333333;4476.117223333333
307;4466.478255416667;4466.478255416667
308;4473.2471825;4473.2471825
309;4467.812585833333;4467.812585833333
310;4479.023155;4479.023155
311;4450.582436666667;4450.582436666667
312;4474.7551275;4474.7551275
313;4450.120212916667;4450.120212916667
314;4470.629530833333;4470.629530833333
315;4461.626677083334;4461.626677083334
316;4469.873534583333;4469.873534583333
317;4448.334864166666;4448.334864166666
318;4455.830225416667;4455.830225416667
319;4480.069999583333;4480.069999583333
320;4458.567115833333;4458.567115833333
321;4463.111779583333;4463.111779583333
322;4466.119377083333;4466.119377083333
323;4488.601787083334;4488.601787083334
324;4463.661965;4463.661965
325;4485.814684999999;4485.814684999999
326;4474.840300833333;4474.840300833333
327;4465.417526666666;4465.417526666666
328;4465.2810125;4465.2810125
329;4475.4474570833345;4475.4474570833345
330;4463.574632916666;4463.574632916666
331;4489.856618333333;4489.856618333333
332;4458.886511666667;4458.886511666667
333;4472.02525;4472.02525
334;4486.2530975;4486.2530975
335;4475.1981525;4475.1981525
336;4468.151038333333;4468.151038333333
337;4474.704081666667;4474.704081666667
338;4476.352460416666;4476.352460416666
339;4465.541297916667;4465.541297916667
340;4481.112562083333;4481.112562083333
341;4476.434382916666;4476.434382916666
342;4479.8701270833335;4479.8701270833335
343;4469.901076666666;4469.901076666666
344;4473.311557916667;4473.311557916667
345;4456.535240416666;4456.535240416666
346;4454.205537083334;4454.205537083334
347;4464.854056666666;4464.854056666666
348;4465.29433625;4465.29433625
349;4468.265554166666;4468.265554166666
350;4454.613509583333;4454.613509583333
351;4474.214812916666;4474.214812916666
352;4465.78994;4465.78994
353;4463.425364166666;4463.425364166666
354;4451.0272679166665;4451.0272679166665
355;4469.818937499999;4469.818937499999
356;4447.669255;4447.669255
