iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
67;22:49:42;22:49:42;22:49:42;22:49:42;22:49:42;22:49:42;;;22:49:42;22:49:42;22:49:42;22:49:42;22:49:42;22:49:42;22:49:42;22:49:42;22:49:42;22:49:42;;;22:49:42;22:49:42;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
68;22:49:43;22:49:43;22:49:43;22:49:43;22:49:43;22:49:43;;;22:49:43;22:49:43;22:49:43;22:49:43;22:49:43;22:49:43;22:49:43;22:49:43;22:49:43;22:49:43;;;22:49:43;22:49:43;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
69;22:49:44;22:49:44;22:49:44;22:49:44;22:49:44;22:49:44;;;22:49:44;22:49:44;22:49:44;22:49:44;22:49:44;22:49:44;22:49:44;22:49:44;22:49:44;22:49:44;;;22:49:44;22:49:44;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
70;22:49:45;22:49:45;22:49:45;22:49:45;22:49:45;22:49:45;;;22:49:45;22:49:45;22:49:45;22:49:45;22:49:45;22:49:45;22:49:45;22:49:45;22:49:45;22:49:45;22:49:45;22:49:45;22:49:45;22:49:45;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
71;22:49:46;22:49:46;22:49:46;22:49:46;22:49:46;22:49:46;;;22:49:46;22:49:46;22:49:46;22:49:46;22:49:46;22:49:46;22:49:46;22:49:46;22:49:46;22:49:46;;;22:49:46;22:49:46;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
72;22:49:47;22:49:47;22:49:47;22:49:47;22:49:47;22:49:47;;;22:49:47;22:49:47;22:49:47;22:49:47;22:49:47;22:49:47;22:49:47;22:49:47;22:49:47;22:49:47;;;22:49:47;22:49:47;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
73;22:49:48;22:49:48;22:49:48;22:49:48;22:49:48;22:49:48;;;22:49:48;22:49:48;22:49:48;22:49:48;22:49:48;22:49:48;22:49:48;22:49:48;22:49:48;22:49:48;;;22:49:48;22:49:48;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
74;22:49:49;22:49:49;22:49:49;22:49:49;22:49:49;22:49:49;;;22:49:49;22:49:49;22:49:49;22:49:49;22:49:49;22:49:49;22:49:49;22:49:49;22:49:49;22:49:49;;;22:49:49;22:49:49;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
75;22:49:50;22:49:50;22:49:50;22:49:50;22:49:50;22:49:50;;;22:49:50;22:49:50;22:49:50;22:49:50;22:49:50;22:49:50;22:49:50;22:49:50;22:49:50;22:49:50;;;22:49:51;22:49:51;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
76;22:49:51;22:49:51;22:49:51;22:49:51;22:49:51;22:49:51;;;22:49:51;22:49:51;22:49:51;22:49:51;22:49:51;22:49:51;22:49:51;22:49:51;22:49:51;22:49:51;;;22:49:52;22:49:52;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
77;22:49:52;22:49:52;22:49:52;22:49:52;22:49:52;22:49:52;;;22:49:52;22:49:52;22:49:52;22:49:52;22:49:52;22:49:52;22:49:52;22:49:52;22:49:52;22:49:52;;;22:49:53;22:49:53;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
78;22:49:53;22:49:53;22:49:53;22:49:53;22:49:53;22:49:53;;;22:49:53;22:49:53;22:49:53;22:49:53;22:49:53;22:49:53;22:49:53;22:49:53;22:49:53;22:49:53;;;22:49:54;22:49:54;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
79;22:49:54;22:49:54;22:49:54;22:49:54;22:49:54;22:49:54;;;22:49:54;22:49:54;22:49:54;22:49:54;22:49:54;22:49:54;22:49:54;22:49:54;22:49:54;22:49:54;;;22:49:55;22:49:55;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
80;22:49:55;22:49:55;22:49:55;22:49:55;22:49:55;22:49:55;;;22:49:55;22:49:55;22:49:55;22:49:55;22:49:55;22:49:55;22:49:55;22:49:55;22:49:55;22:49:55;22:49:55;22:49:55;22:49:56;22:49:56;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
81;22:49:56;22:49:56;22:49:56;22:49:56;22:49:56;22:49:56;;;22:49:56;22:49:56;22:49:56;22:49:56;22:49:56;22:49:56;22:49:56;22:49:56;22:49:56;22:49:56;;;22:49:57;22:49:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
82;22:49:57;22:49:57;22:49:57;22:49:57;22:49:57;22:49:57;;;22:49:57;22:49:57;22:49:57;22:49:57;22:49:57;22:49:57;22:49:57;22:49:57;22:49:57;22:49:57;;;22:49:58;22:49:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
83;22:49:58;22:49:58;22:49:58;22:49:58;22:49:58;22:49:58;;;22:49:58;22:49:58;22:49:58;22:49:58;22:49:58;22:49:58;22:49:58;22:49:58;22:49:58;22:49:58;;;22:49:59;22:49:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
84;22:49:59;22:49:59;22:49:59;22:49:59;22:49:59;22:49:59;;;22:49:59;22:49:59;22:49:59;22:49:59;22:49:59;22:49:59;22:49:59;22:49:59;22:49:59;22:49:59;;;22:50:00;22:50:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
85;22:50:00;22:50:00;22:50:00;22:50:00;22:50:00;22:50:00;;;22:50:00;22:50:00;22:50:00;22:50:00;22:50:00;22:50:00;22:50:00;22:50:00;22:50:00;22:50:00;;;22:50:01;22:50:01;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
86;22:50:01;22:50:01;22:50:01;22:50:01;22:50:01;22:50:01;;;22:50:01;22:50:01;22:50:01;22:50:01;22:50:01;22:50:01;22:50:01;22:50:01;22:50:01;22:50:01;;;22:50:02;22:50:02;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
87;22:50:02;22:50:02;22:50:02;22:50:02;22:50:02;22:50:02;;;22:50:02;22:50:02;22:50:02;22:50:02;22:50:02;22:50:02;22:50:02;22:50:02;22:50:02;22:50:02;;;22:50:03;22:50:03;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
88;22:50:03;22:50:03;22:50:03;22:50:03;22:50:03;22:50:03;;;22:50:03;22:50:03;22:50:03;22:50:03;22:50:03;22:50:03;22:50:03;22:50:03;22:50:03;22:50:03;;;22:50:04;22:50:04;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
89;22:50:04;22:50:04;22:50:04;22:50:04;22:50:04;22:50:04;;;22:50:04;22:50:04;22:50:04;22:50:04;22:50:04;22:50:04;22:50:04;22:50:04;22:50:04;22:50:04;;;22:50:05;22:50:05;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
90;22:50:05;22:50:05;22:50:05;22:50:05;22:50:05;22:50:05;;;22:50:05;22:50:05;22:50:05;22:50:05;22:50:05;22:50:05;22:50:05;22:50:05;22:50:05;22:50:05;22:50:05;22:50:05;22:50:06;22:50:06;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
91;22:50:06;22:50:06;22:50:06;22:50:06;22:50:06;22:50:06;;;22:50:06;22:50:06;22:50:06;22:50:06;22:50:06;22:50:06;22:50:06;22:50:06;22:50:06;22:50:06;;;22:50:07;22:50:07;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
92;22:50:07;22:50:07;22:50:07;22:50:07;22:50:07;22:50:07;;;22:50:07;22:50:07;22:50:07;22:50:07;22:50:07;22:50:07;22:50:07;22:50:07;22:50:07;22:50:07;;;22:50:08;22:50:08;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
93;22:50:08;22:50:08;22:50:08;22:50:08;22:50:08;22:50:08;;;22:50:08;22:50:08;22:50:08;22:50:08;22:50:08;22:50:08;22:50:08;22:50:08;22:50:08;22:50:08;;;22:50:09;22:50:09;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
94;22:50:09;22:50:09;22:50:09;22:50:09;22:50:09;22:50:09;;;22:50:09;22:50:09;22:50:09;22:50:09;22:50:09;22:50:09;22:50:09;22:50:09;22:50:09;22:50:09;;;22:50:10;22:50:10;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
95;22:50:10;22:50:10;22:50:10;22:50:10;22:50:10;22:50:10;;;22:50:10;22:50:10;22:50:10;22:50:10;22:50:10;22:50:10;22:50:10;22:50:10;22:50:10;22:50:10;;;22:50:11;22:50:11;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
96;22:50:11;22:50:11;22:50:11;22:50:11;22:50:11;22:50:11;;;22:50:11;22:50:11;22:50:11;22:50:11;22:50:11;22:50:11;22:50:11;22:50:11;22:50:11;22:50:11;;;22:50:12;22:50:12;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
97;22:50:12;22:50:12;22:50:12;22:50:12;22:50:12;22:50:12;;;22:50:12;22:50:12;22:50:12;22:50:12;22:50:12;22:50:12;22:50:12;22:50:12;22:50:12;22:50:12;;;22:50:13;22:50:13;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
98;22:50:13;22:50:13;22:50:13;22:50:13;22:50:13;22:50:13;;;22:50:13;22:50:13;22:50:13;22:50:13;22:50:13;22:50:13;22:50:13;22:50:13;22:50:13;22:50:13;;;22:50:14;22:50:14;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
99;22:50:14;22:50:14;22:50:14;22:50:14;22:50:14;22:50:14;;;22:50:14;22:50:14;22:50:14;22:50:14;22:50:14;22:50:14;22:50:14;22:50:14;22:50:14;22:50:14;;;22:50:15;22:50:15;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
100;22:50:15;22:50:15;22:50:15;22:50:15;22:50:15;22:50:15;22:50:15;22:50:15;22:50:15;22:50:15;22:50:15;22:50:15;22:50:16;22:50:16;22:50:16;22:50:16;22:50:16;22:50:16;22:50:16;22:50:16;22:50:16;22:50:16;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
101;22:50:16;22:50:16;22:50:16;22:50:16;22:50:16;22:50:16;;;22:50:16;22:50:16;22:50:16;22:50:16;22:50:17;22:50:17;22:50:17;22:50:17;22:50:17;22:50:17;;;22:50:17;22:50:17;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
102;22:50:17;22:50:17;22:50:17;22:50:17;22:50:17;22:50:17;;;22:50:17;22:50:17;22:50:17;22:50:17;22:50:18;22:50:18;22:50:18;22:50:18;22:50:18;22:50:18;;;22:50:18;22:50:18;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
103;22:50:18;22:50:18;22:50:18;22:50:18;22:50:18;22:50:18;;;22:50:18;22:50:18;22:50:18;22:50:18;22:50:19;22:50:19;22:50:19;22:50:19;22:50:19;22:50:19;;;22:50:19;22:50:19;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
104;22:50:19;22:50:19;22:50:19;22:50:19;22:50:19;22:50:19;;;22:50:19;22:50:19;22:50:19;22:50:19;22:50:20;22:50:20;22:50:20;22:50:20;22:50:20;22:50:20;;;22:50:21;22:50:21;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:01
105;22:50:21;22:50:21;22:50:21;22:50:21;22:50:21;22:50:21;;;22:50:21;22:50:21;22:50:21;22:50:21;22:50:21;22:50:21;22:50:21;22:50:21;22:50:21;22:50:21;;;22:50:22;22:50:22;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
106;22:50:22;22:50:22;22:50:22;22:50:22;22:50:22;22:50:22;;;22:50:22;22:50:22;22:50:22;22:50:22;22:50:23;22:50:23;22:50:23;22:50:23;22:50:23;22:50:23;;;22:50:23;22:50:23;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
107;22:50:23;22:50:23;22:50:23;22:50:23;22:50:23;22:50:23;;;22:50:23;22:50:23;22:50:23;22:50:23;22:50:24;22:50:24;22:50:24;22:50:24;22:50:24;22:50:24;;;22:50:24;22:50:24;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
108;22:50:24;22:50:24;22:50:24;22:50:24;22:50:24;22:50:24;;;22:50:24;22:50:24;22:50:24;22:50:24;22:50:25;22:50:25;22:50:25;22:50:25;22:50:25;22:50:25;;;22:50:25;22:50:25;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
109;22:50:25;22:50:25;22:50:25;22:50:25;22:50:25;22:50:25;;;22:50:25;22:50:25;22:50:25;22:50:25;22:50:26;22:50:26;22:50:26;22:50:26;22:50:26;22:50:26;;;22:50:26;22:50:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
110;22:50:26;22:50:26;22:50:26;22:50:26;22:50:26;22:50:26;;;22:50:26;22:50:26;22:50:26;22:50:26;22:50:27;22:50:27;22:50:27;22:50:27;22:50:27;22:50:27;22:50:27;22:50:27;22:50:27;22:50:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
111;22:50:27;22:50:27;22:50:27;22:50:27;22:50:27;22:50:27;;;22:50:27;22:50:27;22:50:27;22:50:27;22:50:28;22:50:28;22:50:28;22:50:28;22:50:28;22:50:28;;;22:50:28;22:50:28;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
112;22:50:28;22:50:28;22:50:28;22:50:28;22:50:28;22:50:28;;;22:50:28;22:50:28;22:50:28;22:50:28;22:50:29;22:50:29;22:50:29;22:50:29;22:50:29;22:50:29;;;22:50:29;22:50:29;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
113;22:50:29;22:50:29;22:50:29;22:50:29;22:50:29;22:50:29;;;22:50:29;22:50:29;22:50:29;22:50:29;22:50:30;22:50:30;22:50:30;22:50:30;22:50:30;22:50:30;;;22:50:30;22:50:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
114;22:50:30;22:50:30;22:50:30;22:50:30;22:50:30;22:50:30;;;22:50:30;22:50:30;22:50:30;22:50:30;22:50:31;22:50:31;22:50:31;22:50:31;22:50:31;22:50:31;;;22:50:31;22:50:31;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
115;22:50:31;22:50:31;22:50:31;22:50:31;22:50:31;22:50:31;;;22:50:31;22:50:31;22:50:31;22:50:31;22:50:32;22:50:32;22:50:32;22:50:32;22:50:32;22:50:32;;;22:50:32;22:50:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
116;22:50:32;22:50:32;22:50:32;22:50:32;22:50:32;22:50:32;;;22:50:32;22:50:32;22:50:32;22:50:32;22:50:33;22:50:33;22:50:33;22:50:33;22:50:33;22:50:33;;;22:50:34;22:50:34;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
117;22:50:34;22:50:34;22:50:34;22:50:34;22:50:34;22:50:34;;;22:50:34;22:50:34;22:50:34;22:50:34;22:50:34;22:50:34;22:50:34;22:50:34;22:50:34;22:50:34;;;22:50:35;22:50:35;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
118;22:50:35;22:50:35;22:50:35;22:50:35;22:50:35;22:50:35;;;22:50:35;22:50:35;22:50:35;22:50:35;22:50:35;22:50:35;22:50:35;22:50:35;22:50:35;22:50:35;;;22:50:36;22:50:36;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
119;22:50:36;22:50:36;22:50:36;22:50:36;22:50:36;22:50:36;;;22:50:36;22:50:36;22:50:36;22:50:36;22:50:36;22:50:36;22:50:36;22:50:36;22:50:36;22:50:36;;;22:50:37;22:50:37;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
120;22:50:37;22:50:37;22:50:37;22:50:37;22:50:37;22:50:37;;;22:50:37;22:50:37;22:50:37;22:50:37;22:50:37;22:50:37;22:50:37;22:50:37;22:50:37;22:50:37;22:50:37;22:50:37;22:50:38;22:50:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
121;22:50:38;22:50:38;22:50:38;22:50:38;22:50:38;22:50:38;;;22:50:38;22:50:38;22:50:38;22:50:38;22:50:39;22:50:39;22:50:39;22:50:39;22:50:39;22:50:39;;;22:50:39;22:50:39;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
122;22:50:39;22:50:39;22:50:39;22:50:39;22:50:39;22:50:39;;;22:50:39;22:50:39;22:50:39;22:50:39;22:50:40;22:50:40;22:50:40;22:50:40;22:50:40;22:50:40;;;22:50:40;22:50:40;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
123;22:50:40;22:50:40;22:50:40;22:50:40;22:50:40;22:50:40;;;22:50:40;22:50:40;22:50:40;22:50:40;22:50:41;22:50:41;22:50:41;22:50:41;22:50:41;22:50:41;;;22:50:41;22:50:41;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
124;22:50:41;22:50:41;22:50:41;22:50:41;22:50:41;22:50:41;;;22:50:41;22:50:41;22:50:41;22:50:41;22:50:42;22:50:42;22:50:42;22:50:42;22:50:42;22:50:42;;;22:50:42;22:50:42;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
125;22:50:42;22:50:42;22:50:42;22:50:42;22:50:42;22:50:42;;;22:50:42;22:50:42;22:50:42;22:50:42;22:50:43;22:50:43;22:50:43;22:50:43;22:50:43;22:50:43;;;22:50:43;22:50:43;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
126;22:50:43;22:50:43;22:50:43;22:50:43;22:50:43;22:50:43;;;22:50:43;22:50:43;22:50:43;22:50:43;22:50:44;22:50:44;22:50:44;22:50:44;22:50:44;22:50:44;;;22:50:44;22:50:44;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
127;22:50:44;22:50:44;22:50:44;22:50:44;22:50:44;22:50:44;;;22:50:44;22:50:44;22:50:44;22:50:44;22:50:45;22:50:45;22:50:45;22:50:45;22:50:45;22:50:45;;;22:50:45;22:50:45;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
128;22:50:45;22:50:45;22:50:45;22:50:45;22:50:45;22:50:45;;;22:50:45;22:50:45;22:50:45;22:50:45;22:50:46;22:50:46;22:50:46;22:50:46;22:50:46;22:50:46;;;22:50:46;22:50:46;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
129;22:50:46;22:50:46;22:50:46;22:50:46;22:50:46;22:50:46;;;22:50:46;22:50:46;22:50:46;22:50:46;22:50:47;22:50:47;22:50:47;22:50:47;22:50:47;22:50:47;;;22:50:47;22:50:47;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
130;22:50:47;22:50:47;22:50:47;22:50:47;22:50:47;22:50:47;;;22:50:47;22:50:47;22:50:47;22:50:47;22:50:48;22:50:48;22:50:48;22:50:48;22:50:48;22:50:48;22:50:48;22:50:48;22:50:48;22:50:48;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
131;22:50:48;22:50:48;22:50:48;22:50:48;22:50:48;22:50:48;;;22:50:48;22:50:48;22:50:48;22:50:48;22:50:49;22:50:49;22:50:49;22:50:49;22:50:49;22:50:49;;;22:50:49;22:50:49;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
132;22:50:49;22:50:49;22:50:49;22:50:49;22:50:49;22:50:49;;;22:50:49;22:50:49;22:50:49;22:50:49;22:50:50;22:50:50;22:50:50;22:50:50;22:50:50;22:50:50;;;22:50:50;22:50:50;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
133;22:50:50;22:50:50;22:50:50;22:50:50;22:50:50;22:50:50;;;22:50:50;22:50:50;22:50:50;22:50:50;22:50:51;22:50:51;22:50:51;22:50:51;22:50:51;22:50:51;;;22:50:51;22:50:51;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
134;22:50:51;22:50:51;22:50:51;22:50:51;22:50:51;22:50:51;;;22:50:51;22:50:51;22:50:51;22:50:51;22:50:52;22:50:52;22:50:52;22:50:52;22:50:52;22:50:52;;;22:50:52;22:50:52;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
135;22:50:52;22:50:52;22:50:52;22:50:52;22:50:52;22:50:52;;;22:50:52;22:50:52;22:50:52;22:50:52;22:50:53;22:50:53;22:50:53;22:50:53;22:50:53;22:50:53;;;22:50:53;22:50:53;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
136;22:50:53;22:50:53;22:50:53;22:50:53;22:50:53;22:50:53;;;22:50:53;22:50:53;22:50:53;22:50:53;22:50:54;22:50:54;22:50:54;22:50:54;22:50:54;22:50:54;;;22:50:54;22:50:54;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
137;22:50:54;22:50:54;22:50:54;22:50:54;22:50:54;22:50:54;;;22:50:54;22:50:54;22:50:54;22:50:54;22:50:55;22:50:55;22:50:55;22:50:55;22:50:55;22:50:55;;;22:50:55;22:50:55;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
138;22:50:56;22:50:56;22:50:56;22:50:56;22:50:56;22:50:56;;;22:50:56;22:50:56;22:50:56;22:50:56;22:50:56;22:50:56;22:50:56;22:50:56;22:50:56;22:50:56;;;22:50:57;22:50:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:01
139;22:50:57;22:50:57;22:50:57;22:50:57;22:50:57;22:50:57;;;22:50:57;22:50:57;22:50:57;22:50:57;22:50:57;22:50:57;22:50:57;22:50:57;22:50:57;22:50:57;;;22:50:58;22:50:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
140;22:50:58;22:50:58;22:50:58;22:50:58;22:50:58;22:50:58;;;22:50:58;22:50:58;22:50:58;22:50:58;22:50:58;22:50:58;22:50:58;22:50:58;22:50:58;22:50:58;22:50:58;22:50:58;22:50:59;22:50:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
141;22:50:59;22:50:59;22:50:59;22:50:59;22:50:59;22:50:59;;;22:50:59;22:50:59;22:50:59;22:50:59;22:50:59;22:50:59;22:50:59;22:50:59;22:50:59;22:50:59;;;22:51:00;22:51:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
142;22:51:00;22:51:00;22:51:00;22:51:00;22:51:00;22:51:00;;;22:51:00;22:51:00;22:51:00;22:51:00;22:51:01;22:51:01;22:51:01;22:51:01;22:51:01;22:51:01;;;22:51:01;22:51:01;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
143;22:51:01;22:51:01;22:51:01;22:51:01;22:51:01;22:51:01;;;22:51:01;22:51:01;22:51:01;22:51:01;22:51:02;22:51:02;22:51:02;22:51:02;22:51:02;22:51:02;;;22:51:02;22:51:02;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
144;22:51:02;22:51:02;22:51:02;22:51:02;22:51:02;22:51:02;;;22:51:02;22:51:02;22:51:02;22:51:02;22:51:03;22:51:03;22:51:03;22:51:03;22:51:03;22:51:03;;;22:51:03;22:51:03;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
145;22:51:03;22:51:03;22:51:03;22:51:03;22:51:03;22:51:03;;;22:51:03;22:51:03;22:51:03;22:51:03;22:51:04;22:51:04;22:51:04;22:51:04;22:51:04;22:51:04;;;22:51:04;22:51:04;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
