iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
16;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;;;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;22:48:51;;;22:48:52;22:48:52;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
17;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;;;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;22:48:52;;;22:48:53;22:48:53;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
18;22:48:53;22:48:53;22:48:53;22:48:53;22:48:53;22:48:53;;;22:48:53;22:48:53;22:48:53;22:48:53;22:48:53;22:48:53;22:48:53;22:48:53;22:48:53;22:48:53;;;22:48:54;22:48:54;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
19;22:48:54;22:48:54;22:48:54;22:48:54;22:48:54;22:48:54;;;22:48:54;22:48:54;22:48:54;22:48:54;22:48:54;22:48:54;22:48:54;22:48:54;22:48:54;22:48:54;;;22:48:55;22:48:55;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
20;22:48:55;22:48:55;22:48:55;22:48:55;22:48:55;22:48:55;;;22:48:55;22:48:55;22:48:55;22:48:55;22:48:55;22:48:55;22:48:55;22:48:55;22:48:55;22:48:55;22:48:55;22:48:55;22:48:56;22:48:56;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
21;22:48:56;22:48:56;22:48:56;22:48:56;22:48:56;22:48:56;;;22:48:56;22:48:56;22:48:56;22:48:56;22:48:56;22:48:56;22:48:56;22:48:56;22:48:56;22:48:56;;;22:48:57;22:48:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
22;22:48:57;22:48:57;22:48:57;22:48:57;22:48:57;22:48:57;;;22:48:57;22:48:57;22:48:57;22:48:57;22:48:57;22:48:57;22:48:57;22:48:57;22:48:57;22:48:57;;;22:48:58;22:48:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
23;22:48:58;22:48:58;22:48:58;22:48:58;22:48:58;22:48:58;;;22:48:58;22:48:58;22:48:58;22:48:58;22:48:58;22:48:58;22:48:58;22:48:58;22:48:58;22:48:58;;;22:48:59;22:48:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
24;22:48:59;22:48:59;22:48:59;22:48:59;22:48:59;22:48:59;;;22:48:59;22:48:59;22:48:59;22:48:59;22:48:59;22:48:59;22:48:59;22:48:59;22:48:59;22:48:59;;;22:49:00;22:49:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
25;22:49:00;22:49:00;22:49:00;22:49:00;22:49:00;22:49:00;;;22:49:00;22:49:00;22:49:00;22:49:00;22:49:00;22:49:00;22:49:00;22:49:00;22:49:00;22:49:00;;;22:49:01;22:49:01;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
26;22:49:01;22:49:01;22:49:01;22:49:01;22:49:01;22:49:01;;;22:49:01;22:49:01;22:49:01;22:49:01;22:49:01;22:49:01;22:49:01;22:49:01;22:49:01;22:49:01;;;22:49:02;22:49:02;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
27;22:49:02;22:49:02;22:49:02;22:49:02;22:49:02;22:49:02;;;22:49:02;22:49:02;22:49:02;22:49:02;22:49:02;22:49:02;22:49:02;22:49:02;22:49:02;22:49:02;;;22:49:03;22:49:03;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
28;22:49:03;22:49:03;22:49:03;22:49:03;22:49:03;22:49:03;;;22:49:03;22:49:03;22:49:03;22:49:03;22:49:03;22:49:03;22:49:03;22:49:03;22:49:03;22:49:03;;;22:49:04;22:49:04;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
29;22:49:04;22:49:04;22:49:04;22:49:04;22:49:04;22:49:04;;;22:49:04;22:49:04;22:49:04;22:49:04;22:49:04;22:49:04;22:49:04;22:49:04;22:49:04;22:49:04;;;22:49:05;22:49:05;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
30;22:49:05;22:49:05;22:49:05;22:49:05;22:49:05;22:49:05;;;22:49:05;22:49:05;22:49:05;22:49:05;22:49:05;22:49:05;22:49:05;22:49:05;22:49:05;22:49:05;22:49:05;22:49:05;22:49:06;22:49:06;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
31;22:49:06;22:49:06;22:49:06;22:49:06;22:49:06;22:49:06;;;22:49:06;22:49:06;22:49:06;22:49:06;22:49:06;22:49:06;22:49:06;22:49:06;22:49:06;22:49:06;;;22:49:07;22:49:07;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
32;22:49:07;22:49:07;22:49:07;22:49:07;22:49:07;22:49:07;;;22:49:07;22:49:07;22:49:07;22:49:07;22:49:07;22:49:07;22:49:07;22:49:07;22:49:07;22:49:07;;;22:49:08;22:49:08;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
33;22:49:08;22:49:08;22:49:08;22:49:08;22:49:08;22:49:08;;;22:49:08;22:49:08;22:49:08;22:49:08;22:49:08;22:49:08;22:49:08;22:49:08;22:49:08;22:49:08;;;22:49:09;22:49:09;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
34;22:49:09;22:49:09;22:49:09;22:49:09;22:49:09;22:49:09;;;22:49:09;22:49:09;22:49:09;22:49:09;22:49:09;22:49:09;22:49:09;22:49:09;22:49:09;22:49:09;;;22:49:10;22:49:10;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
35;22:49:10;22:49:10;22:49:10;22:49:10;22:49:10;22:49:10;;;22:49:10;22:49:10;22:49:10;22:49:10;22:49:10;22:49:10;22:49:10;22:49:10;22:49:10;22:49:10;;;22:49:11;22:49:11;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
36;22:49:11;22:49:11;22:49:11;22:49:11;22:49:11;22:49:11;;;22:49:11;22:49:11;22:49:11;22:49:11;22:49:11;22:49:11;22:49:11;22:49:11;22:49:11;22:49:11;;;22:49:12;22:49:12;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
37;22:49:12;22:49:12;22:49:12;22:49:12;22:49:12;22:49:12;;;22:49:12;22:49:12;22:49:12;22:49:12;22:49:12;22:49:12;22:49:12;22:49:12;22:49:12;22:49:12;;;22:49:13;22:49:13;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
38;22:49:13;22:49:13;22:49:13;22:49:13;22:49:13;22:49:13;;;22:49:13;22:49:13;22:49:13;22:49:13;22:49:13;22:49:13;22:49:13;22:49:13;22:49:13;22:49:13;;;22:49:14;22:49:14;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
39;22:49:14;22:49:14;22:49:14;22:49:14;22:49:14;22:49:14;;;22:49:14;22:49:14;22:49:14;22:49:14;22:49:14;22:49:14;22:49:14;22:49:14;22:49:14;22:49:14;;;22:49:15;22:49:15;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
40;22:49:15;22:49:15;22:49:15;22:49:15;22:49:15;22:49:15;;;22:49:15;22:49:15;22:49:15;22:49:15;22:49:15;22:49:15;22:49:15;22:49:15;22:49:15;22:49:15;22:49:15;22:49:15;22:49:16;22:49:16;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
41;22:49:16;22:49:16;22:49:16;22:49:16;22:49:16;22:49:16;;;22:49:16;22:49:16;22:49:16;22:49:16;22:49:16;22:49:16;22:49:16;22:49:16;22:49:16;22:49:16;;;22:49:17;22:49:17;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
42;22:49:17;22:49:17;22:49:17;22:49:17;22:49:17;22:49:17;;;22:49:17;22:49:17;22:49:17;22:49:17;22:49:17;22:49:17;22:49:17;22:49:17;22:49:17;22:49:17;;;22:49:17;22:49:17;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;00:00:00
