Iteration;car_travel;car_wait;ebike_travel;ebike_wait;escoot_travel;escoot_wait;stageActivity_travel;stageActivity_wait
174;273;0;37;0;30;0;0;0
175;263;0;32;0;42;0;0;0
176;269;0;37;0;39;0;0;0
177;261;0;38;0;38;0;0;0
178;266;0;41;0;41;0;0;0
179;262;0;34;0;40;0;0;0
180;273;0;34;0;35;0;0;0
181;263;0;32;0;38;0;0;0
182;274;0;34;0;35;0;0;0
183;264;0;39;0;30;0;0;0
184;269;0;42;0;35;0;0;0
185;260;0;39;0;38;0;0;0
186;271;0;38;0;35;0;0;0
187;266;0;29;0;31;0;0;0
188;270;0;36;0;39;0;0;0
189;258;0;40;0;38;0;0;0
190;273;0;37;0;34;0;0;0
191;265;0;31;0;37;0;0;0
192;267;0;32;0;47;0;0;0
193;260;0;38;0;39;0;0;0
194;265;0;42;0;41;0;0;0
195;262;0;33;0;41;0;0;0
196;267;0;40;0;41;0;0;0
197;259;0;37;0;43;0;0;0
198;269;0;40;0;37;0;0;0
199;260;0;33;0;43;0;0;0
200;277;0;32;0;28;0;0;0
201;264;0;38;0;32;0;0;0
202;270;0;36;0;37;0;0;0
203;261;0;36;0;39;0;0;0
204;272;0;33;0;37;0;0;0
205;257;0;43;0;37;0;0;0
206;273;0;35;0;33;0;0;0
207;261;0;40;0;36;0;0;0
208;270;0;36;0;37;0;0;0
209;260;0;38;0;35;0;0;0
210;275;0;30;0;36;0;0;0
211;262;0;40;0;33;0;0;0
212;275;0;36;0;31;0;0;0
213;259;0;36;0;42;0;0;0
214;269;0;36;0;39;0;0;0
215;258;0;33;0;48;0;0;0
216;275;0;34;0;34;0;0;0
217;260;0;38;0;39;0;0;0
218;271;0;37;0;36;0;0;0
219;257;0;38;0;39;0;0;0
220;270;0;37;0;38;0;0;0
221;262;0;40;0;32;0;0;0
222;274;0;35;0;34;0;0;0
223;258;0;39;0;41;0;0;0
224;271;0;35;0;40;0;0;0
225;260;0;43;0;31;0;0;0
226;270;0;40;0;34;0;0;0
227;255;0;44;0;40;0;0;0
228;268;0;42;0;37;0;0;0
229;262;0;33;0;38;0;0;0
230;272;0;40;0;29;0;0;0
231;262;0;37;0;38;0;0;0
232;274;0;30;0;36;0;0;0
233;260;0;36;0;42;0;0;0
234;270;0;35;0;39;0;0;0
235;261;0;36;0;42;0;0;0
236;269;0;36;0;41;0;0;0
237;258;0;40;0;42;0;0;0
238;274;0;36;0;29;0;0;0
239;264;0;38;0;31;0;0;0
240;275;0;30;0;36;0;0;0
241;256;0;44;0;42;0;0;0
242;271;0;37;0;36;0;0;0
243;261;0;41;0;37;0;0;0
244;271;0;39;0;37;0;0;0
245;263;0;41;0;32;0;0;0
246;266;0;43;0;41;0;0;0
247;257;0;44;0;40;0;0;0
248;275;0;38;0;29;0;0;0
249;261;0;49;0;29;0;0;0
250;271;0;42;0;36;0;0;0
251;257;0;42;0;42;0;0;0
252;271;0;35;0;39;0;0;0
253;259;0;44;0;38;0;0;0
254;271;0;31;0;42;0;0;0
255;259;0;42;0;37;0;0;0
256;272;0;36;0;37;0;0;0
257;257;0;44;0;39;0;0;0
258;270;0;39;0;37;0;0;0
259;261;0;35;0;39;0;0;0
260;268;0;36;0;40;0;0;0
261;260;0;41;0;38;0;0;0
262;273;0;38;0;32;0;0;0
263;264;0;41;0;28;0;0;0
264;274;0;35;0;35;0;0;0
265;261;0;36;0;43;0;0;0
266;271;0;34;0;39;0;0;0
267;267;0;37;0;29;0;0;0
268;272;0;35;0;35;0;0;0
269;259;0;39;0;41;0;0;0
270;268;0;41;0;39;0;0;0
271;263;0;36;0;36;0;0;0
272;270;0;35;0;39;0;0;0
273;262;0;42;0;32;0;0;0
274;272;0;39;0;31;0;0;0
275;263;0;35;0;39;0;0;0
276;270;0;37;0;39;0;0;0
277;262;0;34;0;39;0;0;0
278;275;0;35;0;30;0;0;0
279;264;0;36;0;37;0;0;0
280;270;0;33;0;40;0;0;0
281;264;0;36;0;35;0;0;0
282;271;0;36;0;38;0;0;0
283;260;0;36;0;40;0;0;0
284;267;0;38;0;43;0;0;0
285;262;0;37;0;36;0;0;0
286;268;0;42;0;40;0;0;0
287;260;0;39;0;38;0;0;0
288;271;0;41;0;34;0;0;0
289;257;0;33;0;50;0;0;0
290;270;0;42;0;34;0;0;0
291;267;0;32;0;35;0;0;0
292;271;0;37;0;35;0;0;0
293;261;0;37;0;38;0;0;0
294;266;0;40;0;42;0;0;0
295;261;0;41;0;37;0;0;0
296;268;0;40;0;39;0;0;0
297;264;0;35;0;37;0;0;0
298;268;0;37;0;39;0;0;0
299;266;0;38;0;30;0;0;0
300;269;0;37;0;37;0;0;0
301;267;0;34;0;33;0;0;0
302;273;0;40;0;32;0;0;0
303;265;0;32;0;36;0;0;0
304;273;0;31;0;39;0;0;0
305;261;0;38;0;39;0;0;0
306;269;0;39;0;37;0;0;0
307;261;0;34;0;44;0;0;0
308;270;0;35;0;38;0;0;0
309;260;0;42;0;37;0;0;0
310;267;0;38;0;40;0;0;0
311;265;0;34;0;34;0;0;0
312;269;0;32;0;44;0;0;0
313;265;0;37;0;31;0;0;0
314;270;0;40;0;36;0;0;0
315;261;0;38;0;37;0;0;0
316;270;0;38;0;37;0;0;0
317;267;0;32;0;33;0;0;0
318;275;0;38;0;28;0;0;0
319;257;0;42;0;40;0;0;0
320;273;0;36;0;35;0;0;0
321;263;0;38;0;34;0;0;0
322;271;0;36;0;39;0;0;0
323;256;0;39;0;45;0;0;0
324;272;0;35;0;39;0;0;0
325;257;0;38;0;44;0;0;0
326;267;0;39;0;42;0;0;0
327;258;0;37;0;35;0;0;0
328;271;0;35;0;40;0;0;0
329;262;0;38;0;36;0;0;0
330;270;0;36;0;38;0;0;0
331;256;0;43;0;43;0;0;0
332;272;0;35;0;36;0;0;0
333;262;0;29;0;46;0;0;0
334;262;0;46;0;43;0;0;0
335;260;0;41;0;38;0;0;0
336;272;0;38;0;36;0;0;0
337;260;0;39;0;39;0;0;0
338;269;0;41;0;39;0;0;0
339;260;0;35;0;39;0;0;0
340;265;0;41;0;42;0;0;0
341;258;0;43;0;39;0;0;0
342;267;0;47;0;37;0;0;0
343;261;0;40;0;35;0;0;0
344;269;0;41;0;39;0;0;0
345;263;0;35;0;35;0;0;0
346;274;0;34;0;35;0;0;0
347;260;0;34;0;38;0;0;0
348;269;0;40;0;36;0;0;0
349;261;0;37;0;38;0;0;0
350;274;0;37;0;31;0;0;0
351;261;0;38;0;38;0;0;0
352;269;0;40;0;39;0;0;0
353;263;0;39;0;34;0;0;0
354;275;0;33;0;35;0;0;0
355;262;0;38;0;36;0;0;0
356;277;0;29;0;34;0;0;0
