iteration;car;ebike;escoot
0;1.0;0.0;0.0
1;0.85;0.08166666666666667;0.06833333333333333
2;0.7391666666666666;0.14333333333333334;0.1175
3;0.6525;0.18666666666666668;0.16083333333333333
4;0.5941666666666666;0.20833333333333334;0.1975
5;0.5366666666666666;0.23916666666666667;0.22416666666666665
6;0.5041666666666667;0.25666666666666665;0.23916666666666667
7;0.49166666666666664;0.2658333333333333;0.2425
8;0.4683333333333333;0.27416666666666667;0.2575
9;0.44416666666666665;0.29;0.2658333333333333
10;0.42833333333333334;0.3025;0.26916666666666667
11;0.405;0.31;0.285
12;0.4058333333333333;0.2975;0.2966666666666667
13;0.39166666666666666;0.30916666666666665;0.2991666666666667
14;0.37833333333333335;0.3325;0.2891666666666667
15;0.39166666666666666;0.32;0.28833333333333333
16;0.38916666666666666;0.32666666666666666;0.2841666666666667
17;0.385;0.34;0.275
18;0.38333333333333336;0.34833333333333333;0.2683333333333333
19;0.39666666666666667;0.3566666666666667;0.24666666666666667
20;0.4091666666666667;0.35333333333333333;0.2375
21;0.42083333333333334;0.3466666666666667;0.2325
22;0.43166666666666664;0.345;0.22333333333333333
23;0.43;0.33666666666666667;0.23333333333333334
24;0.4483333333333333;0.3491666666666667;0.2025
25;0.44;0.3458333333333333;0.21416666666666667
26;0.45666666666666667;0.3408333333333333;0.2025
27;0.455;0.36083333333333334;0.18416666666666667
28;0.4675;0.35333333333333333;0.17916666666666667
29;0.4775;0.3566666666666667;0.16583333333333333
30;0.4533333333333333;0.3725;0.17416666666666666
31;0.48833333333333334;0.35083333333333333;0.16083333333333333
32;0.5125;0.3416666666666667;0.14583333333333334
33;0.5258333333333334;0.3441666666666667;0.13
34;0.5;0.35083333333333333;0.14916666666666667
35;0.515;0.3466666666666667;0.13833333333333334
36;0.5275;0.35;0.1225
37;0.5358333333333334;0.3458333333333333;0.11833333333333333
38;0.5383333333333333;0.32916666666666666;0.1325
39;0.5525;0.32166666666666666;0.12583333333333332
40;0.5358333333333334;0.32916666666666666;0.135
41;0.5641666666666667;0.31833333333333336;0.1175
42;0.57;0.315;0.115
43;0.5975;0.3016666666666667;0.10083333333333333
44;0.5925;0.2916666666666667;0.11583333333333333
45;0.6141666666666666;0.285;0.10083333333333333
46;0.6108333333333333;0.295;0.09416666666666666
47;0.6208333333333333;0.275;0.10416666666666667
48;0.6291666666666667;0.2708333333333333;0.1
49;0.6383333333333333;0.27166666666666667;0.09
50;0.6466666666666666;0.25916666666666666;0.09416666666666666
51;0.65;0.255;0.095
52;0.665;0.25916666666666666;0.07583333333333334
53;0.65;0.26666666666666666;0.08333333333333333
54;0.6708333333333333;0.2425;0.08666666666666667
55;0.6833333333333333;0.22583333333333333;0.09083333333333334
56;0.6966666666666667;0.2225;0.08083333333333333
57;0.6916666666666667;0.22583333333333333;0.0825
58;0.7066666666666667;0.22083333333333333;0.0725
59;0.7041666666666667;0.20916666666666667;0.08666666666666667
60;0.7158333333333333;0.1975;0.08666666666666667
61;0.7308333333333333;0.19916666666666666;0.07
62;0.7266666666666667;0.19333333333333333;0.08
63;0.745;0.17666666666666667;0.07833333333333334
64;0.7225;0.1825;0.095
65;0.7466666666666667;0.18416666666666667;0.06916666666666667
66;0.7191666666666666;0.1875;0.09333333333333334
67;0.7641666666666667;0.16666666666666666;0.06916666666666667
68;0.7525;0.1625;0.085
69;0.7716666666666666;0.15666666666666668;0.07166666666666667
70;0.7708333333333334;0.16166666666666665;0.0675
71;0.7725;0.16;0.0675
72;0.7766666666666666;0.155;0.06833333333333333
73;0.7875;0.1475;0.065
74;0.7725;0.14916666666666667;0.07833333333333334
75;0.7658333333333334;0.15083333333333335;0.08333333333333333
76;0.7816666666666666;0.14833333333333334;0.07
77;0.7975;0.13916666666666666;0.06333333333333334
78;0.7883333333333333;0.13333333333333333;0.07833333333333334
79;0.8075;0.125;0.0675
80;0.7916666666666666;0.13;0.07833333333333334
81;0.795;0.1175;0.0875
82;0.805;0.12583333333333332;0.06916666666666667
83;0.7933333333333333;0.13416666666666666;0.0725
84;0.7908333333333334;0.13416666666666666;0.075
85;0.805;0.10833333333333334;0.08666666666666667
86;0.795;0.12333333333333334;0.08166666666666667
87;0.8075;0.11333333333333333;0.07916666666666666
88;0.8233333333333334;0.105;0.07166666666666667
89;0.8116666666666666;0.1175;0.07083333333333333
90;0.8125;0.11166666666666666;0.07583333333333334
91;0.8083333333333333;0.10166666666666667;0.09
92;0.8133333333333334;0.09916666666666667;0.0875
93;0.8291666666666667;0.1125;0.058333333333333334
94;0.8166666666666667;0.09083333333333334;0.0925
95;0.8275;0.09416666666666666;0.07833333333333334
96;0.83;0.1025;0.0675
97;0.8408333333333333;0.10333333333333333;0.05583333333333333
98;0.8208333333333333;0.10333333333333333;0.07583333333333334
99;0.8183333333333334;0.1;0.08166666666666667
100;0.8275;0.0975;0.075
101;0.8241666666666667;0.11;0.06583333333333333
102;0.8166666666666667;0.10083333333333333;0.0825
103;0.8183333333333334;0.1075;0.07416666666666667
104;0.8325;0.0925;0.075
105;0.835;0.09;0.075
106;0.8375;0.0925;0.07
107;0.8158333333333333;0.10083333333333333;0.08333333333333333
108;0.8441666666666666;0.08333333333333333;0.0725
109;0.8358333333333333;0.09333333333333334;0.07083333333333333
110;0.8358333333333333;0.08333333333333333;0.08083333333333333
111;0.8366666666666667;0.07833333333333334;0.085
112;0.8333333333333334;0.1025;0.06416666666666666
113;0.8508333333333333;0.08833333333333333;0.060833333333333336
